id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,decade,mood_tag,speechiness,liveness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,78,2020s,euphoric,0.04,0.08
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,45,2020s,contemplative,0.03,0.10
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,62,2010s,aggressive,0.06,0.15
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,38,2020s,wistful,0.03,0.07
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,85,2020s,pumped,0.05,0.09
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,29,2010s,serene,0.02,0.06
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,41,2000s,nostalgic,0.04,0.32
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,56,2010s,cinematic,0.03,0.08
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,52,2020s,contemplative,0.03,0.09
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,67,2010s,euphoric,0.04,0.11
11,Lost in Translation,Grey Cipher,hip-hop,sad,0.65,90,0.28,0.72,0.15,71,2010s,melancholic,0.28,0.12
12,Velvet Nights,Sable June,r&b,romantic,0.55,88,0.73,0.75,0.38,63,2020s,romantic,0.07,0.10
13,Morning Prelude,Clara Voss,classical,peaceful,0.18,58,0.72,0.25,0.97,34,2000s,serene,0.03,0.14
14,Iron Surge,Deadvolt,metal,angry,0.97,168,0.22,0.52,0.04,58,2010s,aggressive,0.08,0.20
15,Porch Swing Days,The Hollow Road,folk,nostalgic,0.32,76,0.68,0.45,0.94,44,2000s,nostalgic,0.05,0.35
16,Drop Zone,Flux Circuit,edm,energized,0.95,140,0.62,0.95,0.03,79,2020s,euphoric,0.04,0.07
17,Dusty Highway,Cale Wren,country,melancholic,0.44,96,0.41,0.55,0.82,47,2010s,wistful,0.06,0.22
18,Groove Station,Funkwright,funk,playful,0.78,108,0.88,0.91,0.28,55,1990s,groovy,0.07,0.28
